FIPS,perc_fluor,year,locationid,datatype,TEETHLOST,DENTALVISITS,high_cl_TEETHLOST,high_cl_DENTAL,low_cl_TEETHLOST,low_cl_DENTAL,SES,HC,REMS,HTT,TOTAL,EP_POV150,EP_UNEMP,EP_HBURD,EP_NOHSDP,EP_UNINSUR,EP_MINRTY,TEETHLOST_pr,DENTALVISITS_pr,FLUORIDE_pr,SES_pr,HC_pr,REMS_pr,HTT_pr,TOTAL_pr,FIPS_num,POV150_pr,UNEMP_pr,HBURD_pr,NOHSDP_pr,UNINSU_pr,MINRTY_pr
01025,67.3,2020,1025,AgeAdjPrv,18.2,54.1,22.7,57.1,13.9,51,0.8864,0.6859,0.8631,0.6795,0.8552,35.2,11.6,21.9,17.4,9.6,47.7,0.828907435508346,0.30538694992412746,0.40402124430955993,0.875948406676783,0.661608497723824,0.8691198786039454,0.6923368740515933,0.8471168437025797,1025,0.887329286798179,0.9795144157814871,0.4973444613050076,0.7856600910470409,0.5561456752655539,0.8691198786039454
01027,12.2,2020,1027,AgeAdjPrv,17.1,55.6,22.1,59,12.6,51.7,0.5856,0.6738,0.5423,0.2817,0.5309,28.3,5.4,16.7,18.7,8.5,19.6,0.7587253414264037,0.36418816388467373,0.2101669195751138,0.5534901365705615,0.6490895295902883,0.5276934749620638,0.2902124430955994,0.5079666160849773,1027,0.6855083459787557,0.6020485584218513,0.11798179059180576,0.830804248861912,0.4677541729893778,0.5276934749620638
01029,100,2020,1029,AgeAdjPrv,15.6,59,21.3,63.1,10.6,54.4,0.5439,0.6289,0.2202,0.2979,0.4542,27.3,3.3,18.3,17.8,12.2,7.4,0.6585735963581184,0.4996206373292868,0.802731411229135,0.5121396054628224,0.6012898330804249,0.21965098634294386,0.30728376327769347,0.4343702579666161,1029,0.6456752655538694,0.18361153262518967,0.20599393019726858,0.7993171471927162,0.7359635811836115,0.21965098634294386
01031,71.3,2020,1031,AgeAdjPrv,13.4,59.5,18.1,62.9,9.6,55.8,0.6041,0.9055,0.6862,0.2813,0.6489,24.9,5.5,19.6,14.4,10.6,30.4,0.47078907435508344,0.5220030349013657,0.4320940819423369,0.5728376327769348,0.8990895295902883,0.6771623672230652,0.2898330804248862,0.6270864946889226,1031,0.5284522003034902,0.6176024279210925,0.30652503793626706,0.6498482549317147,0.6403641881638846,0.6771623672230652
01033,87.1,2020,1033,AgeAdjPrv,14.3,57.5,18.9,60.9,10.2,53.6,0.4647,0.6346,0.577,0.0761,0.3475,23.5,4,23.1,14.3,6.8,22,0.5474203338391502,0.4396813353566009,0.5466616084977238,0.4328528072837633,0.6069802731411229,0.5622154779969651,0.07928679817905918,0.3319423368740516,1033,0.456752655538695,0.3095599393019727,0.5990136570561456,0.6433990895295902,0.3160091047040971,0.5622154779969651
01035,44.4,2020,1035,AgeAdjPrv,19.5,50.7,23.7,54,15.4,47.6,0.725,0.6891,0.8756,0.2683,0.6575,34.9,7.9,14.2,15,10.4,49.9,0.8930197268588771,0.17336874051593323,0.3133535660091047,0.6991654021244309,0.6650227617602428,0.8820182094081942,0.27579666160849775,0.6350531107738998,1035,0.881638846737481,0.879742033383915,0.04590288315629742,0.6801972685887708,0.6191198786039454,0.8820182094081942
01037,65.6,2020,1037,AgeAdjPrv,16.2,56.8,20.4,60.2,12,53.7,0.3065,0.3679,0.7406,0.5496,0.436,24.1,2.6,17.3,16.8,6.9,35.3,0.6976479514415781,0.41047040971168436,0.3926403641881639,0.2890743550834598,0.33877086494688924,0.7371016691957512,0.5641122913505311,0.4161608497723824,1037,0.48975720789074356,0.1062215477996965,0.1475720789074355,0.7591047040971168,0.325113808801214,0.7371016691957512
01039,34.1,2020,1039,AgeAdjPrv,15.2,57.3,20.2,60.9,10.9,53.4,0.7514,0.677,0.4981,0.5719,0.7075,28.1,7.7,19.9,14.7,10.7,16.9,0.6267071320182094,0.4328528072837633,0.27845220030349016,0.7291350531107739,0.6528831562974203,0.48520485584218515,0.5868740515933232,0.6893019726858877,1039,0.6779210925644916,0.8672230652503794,0.3330804248861912,0.6646433990895296,0.644916540212443,0.48520485584218515
01041,18.5,2020,1041,AgeAdjPrv,17,55.5,22.1,59.3,12.4,51.7,0.5395,0.7995,0.6741,0.3775,0.6025,27.1,4,19.3,21.2,8.1,29.3,0.7507587253414264,0.3584977238239757,0.2329286798179059,0.5079666160849773,0.7818664643399089,0.6650227617602428,0.3884673748103187,0.5777693474962063,1041,0.6358118361153262,0.3095599393019727,0.27807283763277696,0.9089529590288316,0.4305766312594841,0.6650227617602428
01043,94.4,2020,1043,AgeAdjPrv,14,59.6,19.2,63.5,9.5,55.2,0.5827,0.6534,0.2753,0.3892,0.5156,21.8,5,19.5,17.7,11.6,8.6,0.5182094081942337,0.5276934749620638,0.6407435508345979,0.5504552352048558,0.6270864946889226,0.26745068285280726,0.4009863429438543,0.4939301972685888,1043,0.3877086494688923,0.5238998482549317,0.29817905918057663,0.7955235204855842,0.7025796661608498,0.26745068285280726
